Promoter,Share,BSE Code,NSE Code,Price,MCap,TotalShares,CaptureDate,Date
NAVAJBAI RATAN TATA TRUST Mr RN Tata Mr Vija,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2024,01-03-2024
JAMSETJI TATA TRUST Mr RN Tata Mr Vijay Sing,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2024,01-03-2024
FIIs,12.7,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2024,01-03-2024
DIIs,10.61,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2024,01-03-2024
LIC of India,4.86,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2024,01-03-2024
SBI Nifty 50 Etf,1.17,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2024,01-03-2024
Government,0.06,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2024,01-03-2024
Public,4.86,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2024,01-03-2024
Promoters,71.77,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2024,01-06-2024
Tata Sons Private Limited,71.74,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2024,01-06-2024
Tata Investment Corporation Limited,0.03,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2024,01-06-2024
Tata Industries Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2024,01-06-2024
Tata Capital Ltd,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2024,01-06-2024
The Tata Power Company Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2024,01-06-2024
Tata Steel Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2024,01-06-2024
Tata International Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2024,01-06-2024
NAVAJBAI RATAN TATA TRUST Mr RN Tata Mr Vija,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2024,01-06-2024
JAMSETJI TATA TRUST Mr RN Tata Mr Vijay Sing,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2024,01-06-2024
FIIs,12.35,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2024,01-06-2024
DIIs,11.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2024,01-06-2024
Life Insurance Corporation of India,4.97,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2024,01-06-2024
SBI Nifty 50 Etf,1.29,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2024,01-06-2024
Government,0.06,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2024,01-06-2024
Public,4.82,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2024,01-06-2024
