,Promoter,Share,BSE Code,NSE Code,Price,MCap,TotalShares,CaptureDate,Date,Share_Change%,ch
290178,Pradeep C Limdi Trustee of Indivar Foundation,7.31,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2022,2022-01-06,0.0,EQUAL
290179,Pradeep C Limdi Trustee of Indivar Foundation,7.31,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2022,2022-01-09,0.0,EQUAL
290180,Pradeep C Limdi Trustee of Indivar Foundation,7.31,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2022,2022-01-12,0.0,EQUAL
290181,Pradeep C Limdi Trustee of Indivar Foundation,11.72,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2023,2023-01-03,60.328317373461,UP
290182,Pradeep C Limdi Trustee of Indivar Foundation,11.72,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2023,2023-01-06,0.0,EQUAL
290183,Pradeep C Limdi Trustee of Indivar Foundation,11.72,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2023,2023-01-09,0.0,EQUAL
290184,Pradeep C Limdi Trustee of Indivar Foundation,11.72,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2023,2023-01-12,0.0,EQUAL
290185,Pradeep C Limdi Trustee of Indivar Foundation,11.23,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2024,2024-01-03,-4.18088737201365,Down
290186,Pradeep C Limdi Trustee of Indivar Foundation,11.23,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2024,2024-01-06,0.0,EQUAL
290187,Pradeep C Limdi Trustee of Indivar Foundation,10.7,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Aug 2024,2024-01-08,-4.71950133570793,Down
343749,Ruchi Mohan,1.11,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2023,2023-01-12,5450.0,UP
343750,Ruchi Mohan,1.07,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2024,2024-01-03,-3.60360360360361,Down
343751,Ruchi Mohan,0.8,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2024,2024-01-06,-25.2336448598131,Down
343752,Ruchi Mohan,0.77,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Aug 2024,2024-01-08,-3.75,Down
343789,Ruchi Realty Private Limited,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2023,2023-01-03,,EQUAL
343790,Ruchi Realty Private Limited,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2023,2023-01-06,,EQUAL
343791,Ruchi Realty Private Limited,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2023,2023-01-09,,EQUAL
343792,Ruchi Realty Private Limited,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2023,2023-01-12,,EQUAL
343793,Ruchi Realty Private Limited,4.18,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2024,2024-01-03,inf,UP
343794,Ruchi Realty Private Limited,4.18,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2024,2024-01-06,0.0,EQUAL
343795,Ruchi Realty Private Limited,8.7,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Aug 2024,2024-01-08,108.133971291866,UP
343796,Ruchi Shahra,1.17,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2021,2021-01-12,,EQUAL
343797,Ruchi Shahra,1.17,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2022,2022-01-03,0.0,EQUAL
343798,Ruchi Shahra,1.17,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2022,2022-01-06,0.0,EQUAL
343799,Ruchi Shahra,1.17,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2022,2022-01-09,0.0,EQUAL
343800,Ruchi Shahra,1.17,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2022,2022-01-12,0.0,EQUAL
